,id,fdid,state,name,res_structure_fire_count,geom_id,source
138,87057,32040,LA,Livingston Parish Fire Protection District 5,247,3139,minorcivildivision
139,90525,31600,AK,North Star Volunteer Fire Department,247,6108,reserve
140,85341,05103,MO,Johnson County Fire Protection District,247,18127,incorporatedplace
141,86439,08303,NC,Laurinburg Fire Department,246,16528,incorporatedplace
142,91770,04110,NJ,Pennsauken Fire Department,246,26377,minorcivildivision
143,90522,42324,SC,North Spartanburg Fire and Emergency Service District,245,17175,minorcivildivision
144,85242,57111,OH,Jefferson Township Fire Department,245,5714,unincorporatedplace
145,94784,78151,TN,Seymour Volunteer Fire Department,245,5943,unincorporatedplace
146,75346,07202,SC,Bluffton Township Fire District,245,16272,minorcivildivision
147,99233,10701,MO,Western Taney County Fire Protection District,243,33770,minorcivildivision
148,80111,19103,MN,Eagan Fire Department,242,1753,incorporatedplace
149,78927,08D02,WA,Cowlitz 2 Fire & Rescue,242,10437,incorporatedplace
150,97450,16104,NV,Truckee Meadows Fire Protection District,241,19093,incorporatedplace
151,90059,0256,OR,Newberg Fire Department,241,10909,incorporatedplace
152,97501,55050,CA,Tuolumne County Fire Department,241,8125,incorporatedplace
153,92354,27123,MN,Plymouth Fire Department,239,495,incorporatedplace
154,75717,08802,NC,Brevard Fire Department,237,17546,incorporatedplace
155,89101,22300,AR,Monticello Fire Department,236,7927,incorporatedplace
156,85219,16D01,WA,Jefferson County Fire Protection District No. 1 (aka East Jefferson Fire Rescue),235,39290,minorcivildivision
157,90276,46952,PA,Norristown Fire Department,235,13601,incorporatedplace
158,79273,33621,TN,Dallas Bay Volunteer Fire Department & Rescue  I,234,9489,unincorporatedplace
159,83234,12602,GA,Griffin Fire Department,233,2114,countyorequivalent
160,92176,BW401,TX,Pittsburg Fire Department,233,12152,incorporatedplace
161,77738,23303,WV,City of Logan Fire Department,233,10214,incorporatedplace
162,84835,13025,CA,Imperial County Fire Department,232,5931,incorporatedplace
163,85190,ND503,TX,Jasper Volunteer Fire Department  Inc.,232,12532,incorporatedplace
164,99658,25600,AK,Willow Volunteer Fire Department,231,15,unincorporatedplace
165,90462,SA603,TX,North Montgomery County Fire Department,231,13951,incorporatedplace
166,81681,0120,OR,Forest Grove Fire & Rescue,231,13530,incorporatedplace
167,76702,09731,TN,Carroll County Rural Volunteer Fire Department,231,38085,minorcivildivision
168,81353,24701,TN,Fayette County Fire Service,230,1612,countyorequivalent
169,87061,TB505,TX,Livingston Volunteer Fire Department,230,14378,incorporatedplace
170,80483,07902,NC,Eden Fire Department,230,17682,incorporatedplace
171,73850,14002,NY,Arlington Fire District,230,27208,minorcivildivision
172,99069,45227,OH,West Licking Joint Fire District,229,17260,incorporatedplace
173,99304,42234,SC,Westview-Fairforest Fire Department,228,17175,minorcivildivision
174,82882,02801,MI,Grand Traverse Metro Fire Department,228,5578,minorcivildivision
175,82084,02308,MN,Fridley Fire Department,225,3347,incorporatedplace
176,93673,TX504,TX,Rockwall Fire Department,224,11563,incorporatedplace
177,82840,02513,MI,Grand Blanc Fire Department,223,1217,incorporatedplace
178,75892,27132,MN,Brooklyn Center Fire Department,223,1827,incorporatedplace
179,91646,KK214,TX,Payne Springs Volunteer Fire Department,222,13971,incorporatedplace
180,77148,KA510,TX,Channelview Fire Department,222,10007,unincorporatedplace
181,94281,40080,CA,San Luis Obispo County Fire Department,222,35934,minorcivildivision
182,99787,64030,LA,Winn Parish Fire District #3,222,542,minorcivildivision
183,80796,60014,NY,Elmsford Fire Department,220,17519,incorporatedplace
184,83611,AV604,TX,Harker Heights Fire Department,220,12787,incorporatedplace
185,87756,27115,MN,Maple Grove Fire Department,219,1152,incorporatedplace
186,77004,04209,SC,Centerville Volunteer Fire Department  Inc.,218,4776,unincorporatedplace
187,77686,16304,SC,City of Hartsville Fire Department,218,10893,incorporatedplace
188,89407,11501,MO,Mountain Grove Fire Department,218,2359,incorporatedplace
189,94996,60401,AR,Sherwood Fire Department,217,5464,incorporatedplace
190,75601,73002,AR,Bradford Fire Department,217,8431,incorporatedplace
191,82497,28731,TN,Giles County Fire & Rescue Incorporated,217,13291,incorporatedplace
192,83678,01803,MI,Harrison Community Fire Department,216,3992,incorporatedplace
193,79903,30046,DE,Dover Fire Department,216,7033,incorporatedplace
194,75633,18314,MN,Brainerd Fire Department,215,3855,minorcivildivision
195,92534,73119,OH,Porter Township Fire Department,215,7468,unincorporatedplace
196,84606,04706,MI,Howell Area Fire Department,214,2046,incorporatedplace
197,92516,03916,MI,Portage Fire Department,214,4020,incorporatedplace
198,78076,05108,NC,Clayton Fire Department,214,19690,incorporatedplace
199,73554,BB501,TX,Alvin Volunteer Fire Department,214,15334,incorporatedplace
200,82198,64000,VA,Galax Volunteer Fire Department,213,1857,countyorequivalent
201,82662,64022,FL,Golden Gate Fire Control & Rescue District,213,35668,minorcivildivision
202,87631,03505,MO,Malden Fire Department,211,17057,incorporatedplace
203,93935,11165,AZ,Rural / Metro Fire Department - Tucson,211,43395,minorcivildivision
204,88351,52017,OH,Medina Fire Department,211,20804,minorcivildivision
205,98356,06230,CT,Wallingford Fire Department and EMS,211,43829,minorcivildivision
206,82473,27713,TN,Gibson County Fire Department,210,39656,minorcivildivision
207,88786,06300,NJ,Millville Fire Department,210,18540,incorporatedplace
208,86022,56123,TN,Lafayette Fire Department,210,13515,incorporatedplace
209,90769,10112,WV,Oak Hill Fire Department,210,9460,incorporatedplace
210,76486,07281,TN,Campbell County Fire Service,209,37480,minorcivildivision
211,80589,BU202,KS,El Dorado Fire Department,209,1588,minorcivildivision
212,100128,34D02,WA,Yelm Fire District,209,322,countyorequivalent
213,90427,18D10,WA,North Kitsap Fire & Rescue,208,39777,minorcivildivision
214,98495,11001,MO,Warrenton Fire Protection District,208,18098,incorporatedplace
215,95871,31201,OH,Springfield Township,208,5842,unincorporatedplace
216,92992,40070,LA,Rapides Parish Fire Protection District 2,205,1458,incorporatedplace
217,85231,JC148,IL,Jefferson Fire Protection District,205,41543,minorcivildivision
218,98182,23123,OH,Violet Township Fire Department,205,25394,minorcivildivision
219,96153,33D01,WA,Stevens County Fire Protection District No.1,204,3009,unincorporatedplace
220,83824,21041,FL,Havana Volunteer Fire Department,203,5747,incorporatedplace
221,82228,27009,OH,Gallipolis Fire Department,203,15750,incorporatedplace
222,99006,21311,SC,West Florence Volunteer Fire Department,203,17774,minorcivildivision
223,94611,12401,GA,Screven County Fire Department,202,9075,incorporatedplace
224,86043,29067,LA,Lafourche Parish Fire District #3,202,298,unincorporatedplace
225,92536,SA311,TX,Porter Volunteer Fire Department,201,39237,minorcivildivision
226,97938,17008,AR,Van Buren Fire Department,201,44415,minorcivildivision
227,85539,0186,OR,Keizer Fire District,200,15434,incorporatedplace
228,80240,14008,NY,East Fishkill Fire District,200,29183,minorcivildivision
229,92898,03103,WV,Racine Volunteer Fire Department,199,46239,minorcivildivision
230,74664,12003,MD,Bel Air Volunteer Fire Company,199,4497,incorporatedplace
231,74833,03D01,WA,Benton County Fire District #1,199,15268,incorporatedplace
232,95479,23324,SC,South Greenville Fire District,198,18358,minorcivildivision
233,75403,35213,TN,Bolivar Fire Department,198,13340,incorporatedplace
234,89571,06113,MI,Muskegon Charter Township Fire Department,198,6346,minorcivildivision
235,91572,KA744,TX,Pasadena Fire Department,198,46515,minorcivildivision
